candidate_id,candidate,fold,best_wer,best_epoch,best_step,eval_loss_at_best,blank_rate_at_best,nonblank_rate_at_best,empty_hypothesis_rate_at_best,average_hypothesis_character_length_at_best,average_hypothesis_word_count_at_best,best_checkpoint_path,exported_model_path
F,lr2e-4_freeze_feature,0,0.2398753894080997,49.0,1421.0,0.7102174758911133,0.4218010697387369,0.5781989302612631,0.0,185.91071428571428,34.767857142857146,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_0/checkpoint-1421,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_0/best_model
F,lr2e-4_freeze_feature,1,0.2632603406326034,29.0,841.0,0.6061550378799438,0.36804611452498776,0.6319538854750122,0.0,195.29090909090908,37.0,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_1/checkpoint-841,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_1/best_model
F,lr2e-4_freeze_feature,2,0.21907957813998083,38.0,1102.0,0.5448557138442993,0.3587429405247656,0.6412570594752344,0.0,199.61818181818182,38.018181818181816,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_2/checkpoint-1102,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_2/best_model
F,lr2e-4_freeze_feature,3,0.2693050193050193,43.0,1204.0,0.7928014993667603,0.40306550418138837,0.5969344958186116,0.0,179.84126984126985,33.20634920634921,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_3/checkpoint-1204,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_3/best_model
F,lr2e-4_freeze_feature,4,0.24183976261127596,49.0,1421.0,0.6443912982940674,0.41927491242559733,0.5807250875744027,0.0,187.28070175438597,35.333333333333336,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_4/checkpoint-1421,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/lr2e-4_freeze_feature/fold_4/best_model
H,two_stage_head_warmup,0,0.21651090342679127,37.0,1073.0,0.5911158323287964,0.40351779469245014,0.5964822053075499,0.0,184.78571428571428,34.44642857142857,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_0/checkpoint-1073,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_0/best_model
H,two_stage_head_warmup,1,0.2272506082725061,31.0,899.0,0.5376943349838257,0.37560498123878405,0.624395018761216,0.0,194.87272727272727,37.43636363636364,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_1/checkpoint-899,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_1/best_model
H,two_stage_head_warmup,2,0.2080536912751678,35.0,1015.0,0.4658385217189789,0.3740103223714432,0.6259896776285567,0.0,198.94545454545454,38.10909090909091,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_2/checkpoint-1015,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_2/best_model
H,two_stage_head_warmup,3,0.24420849420849422,40.0,1120.0,0.7199050784111023,0.398134261965888,0.601865738034112,0.0,178.8095238095238,32.98412698412698,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_3/checkpoint-1120,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_3/best_model
H,two_stage_head_warmup,4,0.23293768545994065,22.0,638.0,0.5173872113227844,0.3837325207188221,0.6162674792811779,0.0,186.26315789473685,35.333333333333336,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_4/checkpoint-638,/home/user/disk4/LCM/assignments/SR/outputs/base_strict_cv/two_stage_head_warmup/fold_4/best_model
